ds,purchase,redeem,is_holiday,is_workday_shift,is_next_workday,weekday,month_period
2013-07-01,32488348,5525022,0,0,0,0,begin
2013-07-02,29037390,2554548,0,0,0,1,begin
2013-07-03,27270770,5953867,0,0,0,2,begin
2013-07-04,18321185,6410729,0,0,0,3,begin
2013-07-05,11648749,2763587,0,0,0,4,begin
2013-07-06,36751272,1616635,0,0,0,5,begin
2013-07-07,8962232,3982735,0,0,0,6,begin
2013-07-08,57258266,8347729,0,0,0,0,begin
2013-07-09,26798941,3473059,0,0,0,1,begin
2013-07-10,30696506,2597169,0,0,0,2,begin
2013-07-11,44075197,3508800,0,0,0,3,middle
2013-07-12,34183904,8492573,0,0,0,4,middle
2013-07-13,15164717,3482829,0,0,0,5,middle
2013-07-14,22615303,2784107,0,0,0,6,middle
2013-07-15,48128555,13107943,0,0,0,0,middle
2013-07-16,50622847,11864981,0,0,0,1,middle
2013-07-17,29015682,10911513,0,0,0,2,middle
2013-07-18,24234505,11765356,0,0,0,3,middle
2013-07-19,33680124,9244769,0,0,0,4,middle
2013-07-20,20439079,4601143,0,0,0,5,middle
2013-07-21,21142394,2681331,0,0,0,6,end
2013-07-22,40448896,19144267,0,0,0,0,end
2013-07-23,58136147,24404051,0,0,0,1,end
2013-07-24,48422518,36258592,0,0,0,2,end
2013-07-25,57433418,38212836,0,0,0,3,end
2013-07-26,44721817,39192369,0,0,0,4,end
2013-07-27,17194451,15058893,0,0,0,5,end
2013-07-28,36255382,7683211,0,0,0,6,end
2013-07-29,53512076,18599364,0,0,0,0,end
2013-07-30,47481243,13048582,0,0,0,1,end
2013-07-31,54569637,9534040,0,0,0,2,end
2013-08-01,53369962,18864468,0,0,0,3,begin
2013-08-02,38064536,40150769,0,0,0,4,begin
2013-08-03,21595789,20701797,0,0,0,5,begin
2013-08-04,45745254,8263965,0,0,0,6,begin
2013-08-05,43632203,15797507,0,0,0,0,begin
2013-08-06,50866184,16401387,0,0,0,1,begin
2013-08-07,43908081,29708706,0,0,0,2,begin
2013-08-08,44493490,29551691,0,0,0,3,begin
2013-08-09,33425186,30131015,0,0,0,4,begin
2013-08-10,20615307,26614408,0,0,0,5,begin
2013-08-11,55519543,15372680,0,0,0,6,middle
2013-08-12,94520502,28586669,0,0,0,0,middle
2013-08-13,48720919,28790328,0,0,0,1,middle
2013-08-14,30541167,15031683,0,0,0,2,middle
2013-08-15,42421222,52659327,0,0,0,3,middle
2013-08-16,41683536,33739844,0,0,0,4,middle
2013-08-17,17670519,4674983,0,0,0,5,middle
2013-08-18,59703092,15218300,0,0,0,6,middle
2013-08-19,109184209,28339260,0,0,0,0,middle
2013-08-20,53675509,30131225,0,0,0,1,middle
2013-08-21,38184446,29983342,0,0,0,2,end
2013-08-22,89130737,25000672,0,0,0,3,end
2013-08-23,37878575,25680323,0,0,0,4,end
2013-08-24,44367268,14316598,0,0,0,5,end
2013-08-25,43306288,18117808,0,0,0,6,end
2013-08-26,74496541,20637986,0,0,0,0,end
2013-08-27,45268028,60137633,0,0,0,1,end
2013-08-28,46602319,33696861,0,0,0,2,end
2013-08-29,47518666,35944968,0,0,0,3,end
2013-08-30,56488844,20630752,0,0,0,4,end
2013-08-31,47655303,22012016,0,0,0,5,end
2013-09-01,56239802,59339949,0,0,0,6,begin
2013-09-02,140844739,17785524,0,0,0,0,begin
2013-09-03,80507880,39328144,0,0,0,1,begin
2013-09-04,33366708,27452600,0,0,0,2,begin
2013-09-05,38716505,21800904,0,0,0,3,begin
2013-09-06,38923186,33417903,0,0,0,4,begin
2013-09-07,34076183,20344424,0,0,0,5,begin
2013-09-08,38796909,14919122,0,0,0,6,begin
2013-09-09,49312473,45621186,0,0,0,0,begin
2013-09-10,94684143,37128363,0,0,0,1,begin
2013-09-11,98944459,71674082,0,0,0,2,middle
2013-09-12,68573684,45147220,0,0,0,3,middle
2013-09-13,71655946,60512675,0,0,0,4,middle
2013-09-14,30975443,36312660,0,0,0,5,middle
2013-09-15,37059683,25020715,0,0,0,6,middle
2013-09-16,161656210,45184589,0,0,0,0,middle
2013-09-17,76204815,58260798,0,0,0,1,middle
2013-09-18,42926608,47203221,0,0,0,2,middle
2013-09-19,24778048,11418512,0,0,0,3,middle
2013-09-20,28365762,15188254,0,0,0,4,middle
2013-09-21,32406340,26596179,0,0,0,5,end
2013-09-22,67514169,47962055,0,0,0,6,end
2013-09-23,54658160,58285879,0,0,0,0,end
2013-09-24,74250859,56680792,0,0,0,1,end
2013-09-25,47274168,74838162,0,0,0,2,end
2013-09-26,68718693,48467529,0,0,0,3,end
2013-09-27,42166121,27639603,0,0,0,4,end
2013-09-28,39995798,58105720,0,0,0,5,end
2013-09-29,34433848,40295202,0,0,0,6,end
2013-09-30,28398050,30181353,0,0,0,0,end
2013-10-01,19137499,12813267,0,0,0,1,begin
2013-10-02,11562708,7233874,0,0,0,2,begin
2013-10-03,10101194,6223263,0,0,0,3,begin
2013-10-04,19907689,23412350,0,0,0,4,begin
2013-10-05,26364686,13966453,0,0,0,5,begin
2013-10-06,38730653,13464528,0,0,0,6,begin
2013-10-07,42797733,28894400,0,0,0,0,begin
2013-10-08,109806912,77856096,0,0,0,1,begin
2013-10-09,72422299,33999376,0,0,0,2,begin
2013-10-10,72094613,52244531,0,0,0,3,begin
2013-10-11,82674757,27666473,0,0,0,4,middle
2013-10-12,81901136,31322983,0,0,0,5,middle
2013-10-13,71149981,31850475,0,0,0,6,middle
2013-10-14,130315300,40652625,0,0,0,0,middle
2013-10-15,85704304,35099198,0,0,0,1,middle
2013-10-16,100948091,51261982,0,0,0,2,middle
2013-10-17,87203217,23274764,0,0,0,3,middle
2013-10-18,98151450,15938355,0,0,0,4,middle
2013-10-19,53148443,26684697,0,0,0,5,middle
2013-10-20,47766681,50884342,0,0,0,6,middle
2013-10-21,106030290,45781403,0,0,0,0,end
2013-10-22,145611496,96172537,0,0,0,1,end
2013-10-23,106093112,73788462,0,0,0,2,end
2013-10-24,69530830,58183921,0,0,0,3,end
2013-10-25,69936453,52225802,0,0,0,4,end
2013-10-26,55752506,49357211,0,0,0,5,end
2013-10-27,68007543,46520570,0,0,0,6,end
2013-10-28,129993375,55089464,0,0,0,0,end
2013-10-29,102050144,43052468,0,0,0,1,end
2013-10-30,109663260,63908701,0,0,0,2,end
2013-10-31,90926701,55607833,0,0,0,3,end
2013-11-01,150904945,66933119,0,0,0,4,begin
2013-11-02,62132300,26705506,0,0,0,5,begin
2013-11-03,68707870,30895754,0,0,0,6,begin
2013-11-04,300027403,130970051,0,0,0,0,begin
2013-11-05,180904814,82689864,0,0,0,1,begin
2013-11-06,181474910,131707820,0,0,0,2,begin
2013-11-07,167963464,83306452,0,0,0,3,begin
2013-11-08,231749471,92856307,0,0,0,4,begin
2013-11-09,126467028,45885771,0,0,0,5,begin
2013-11-10,164813471,85293644,0,0,0,6,begin
2013-11-11,147986439,227124951,0,0,0,0,middle
2013-11-12,148469647,131263524,0,0,0,1,middle
2013-11-13,174554976,79121440,0,0,0,2,middle
2013-11-14,167996058,52554150,0,0,0,3,middle
2013-11-15,124270704,58210254,0,0,0,4,middle
2013-11-16,118085705,28996272,0,0,0,5,middle
2013-11-17,111786622,42358155,0,0,0,6,middle
2013-11-18,195766477,136916782,0,0,0,0,middle
2013-11-19,131365419,70308235,0,0,0,1,middle
2013-11-20,166163002,86951218,0,0,0,2,middle
2013-11-21,221166938,74733962,0,0,0,3,end
2013-11-22,128528687,82717921,0,0,0,4,end
2013-11-23,89109018,48882131,0,0,0,5,end
2013-11-24,102394991,85555947,0,0,0,6,end
2013-11-25,147143602,70113127,0,0,0,0,end
2013-11-26,258037702,65802983,0,0,0,1,end
2013-11-27,134774128,86129498,0,0,0,2,end
2013-11-28,139760425,61453591,0,0,0,3,end
2013-11-29,122536344,123982166,0,0,0,4,end
2013-11-30,116865492,119660311,0,0,0,5,end
2013-12-01,137889992,94632233,0,0,0,6,begin
2013-12-02,345313258,128465086,0,0,0,0,begin
2013-12-03,268666856,101662045,0,0,0,1,begin
2013-12-04,219456372,69981329,0,0,0,2,begin
2013-12-05,190825287,118256819,0,0,0,3,begin
2013-12-06,152197159,82625571,0,0,0,4,begin
2013-12-07,138882605,71916047,0,0,0,5,begin
2013-12-08,124886903,76314292,0,0,0,6,begin
2013-12-09,174652812,133355299,0,0,0,0,begin
2013-12-10,179471612,147147341,0,0,0,1,begin
2013-12-11,239916977,110314592,0,0,0,2,middle
2013-12-12,140360007,92090275,0,0,0,3,middle
2013-12-13,164672690,90778214,0,0,0,4,middle
2013-12-14,129045596,52234651,0,0,0,5,middle
2013-12-15,205882387,54757146,0,0,0,6,middle
2013-12-16,196489931,156157326,0,0,0,0,middle
2013-12-17,193980797,116537843,0,0,0,1,middle
2013-12-18,180215804,202220872,0,0,0,2,middle
2013-12-19,233631357,164023344,0,0,0,3,middle
2013-12-20,133867400,153678963,0,0,0,4,middle
2013-12-21,112000779,83151594,0,0,0,5,end
2013-12-22,154543217,83998249,0,0,0,6,end
2013-12-23,198747367,138478245,0,0,0,0,end
2013-12-24,305406334,118607911,0,0,0,1,end
2013-12-25,380076148,172755480,0,0,0,2,end
2013-12-26,220287409,241852564,0,0,0,3,end
2013-12-27,211118967,163522548,0,0,0,4,end
2013-12-28,192808006,61383220,0,0,0,5,end
2013-12-29,161473347,55129989,0,0,0,6,end
2013-12-30,286358778,179826624,0,0,0,0,end
2013-12-31,265851934,134232530,0,0,0,1,end
2014-01-01,330926565,77367755,0,0,0,2,begin
2014-01-02,434956739,190155450,0,0,0,3,begin
2014-01-03,342074805,127714255,0,0,0,4,begin
2014-01-04,186085910,99869074,0,0,0,5,begin
2014-01-05,206030707,156781996,0,0,0,6,begin
2014-01-06,442494042,190917629,0,0,0,0,begin
2014-01-07,589726496,137972793,0,0,0,1,begin
2014-01-08,264025160,213880074,0,0,0,2,begin
2014-01-09,280698487,140391237,0,0,0,3,begin
2014-01-10,237797636,117259153,0,0,0,4,begin
2014-01-11,243403438,71530182,0,0,0,5,middle
2014-01-12,228255344,141505812,0,0,0,6,middle
2014-01-13,447207050,178923772,0,0,0,0,middle
2014-01-14,356907128,159778389,0,0,0,1,middle
2014-01-15,391408718,177618247,0,0,0,2,middle
2014-01-16,374947083,153167426,0,0,0,3,middle
2014-01-17,345426853,127385210,0,0,0,4,middle
2014-01-18,233200688,142869842,0,0,0,5,middle
2014-01-19,185082022,117629351,0,0,0,6,middle
2014-01-20,335761027,442996084,0,0,0,0,middle
2014-01-21,412854611,302825136,0,0,0,1,end
2014-01-22,498730606,292856188,0,0,0,2,end
2014-01-23,481450097,209024328,0,0,0,3,end
2014-01-24,614103894,345829001,0,0,0,4,end
2014-01-25,440854623,185524856,0,0,0,5,end
2014-01-26,528402520,331752519,0,0,0,6,end
2014-01-27,657199484,280645861,0,0,0,0,end
2014-01-28,843424742,248334316,0,0,0,1,end
2014-01-29,952479658,215164666,0,0,0,2,end
2014-01-30,227916211,105288105,0,0,0,3,end
2014-01-31,87324175,48132389,0,0,0,4,end
2014-02-01,64287172,61527060,0,0,0,5,begin
2014-02-02,57912761,24395720,0,0,0,6,begin
2014-02-03,84329848,46109194,0,0,0,0,begin
2014-02-04,83653646,44927333,0,0,0,1,begin
2014-02-05,209043990,95407704,0,0,0,2,begin
2014-02-06,227860276,111635336,0,0,0,3,begin
2014-02-07,578818221,273482213,0,0,0,4,begin
2014-02-08,358255468,183432237,0,0,0,5,begin
2014-02-09,341911234,262954049,0,0,0,6,begin
2014-02-10,647465140,431753411,0,0,0,0,begin
2014-02-11,818803205,243058162,0,0,0,1,middle
2014-02-12,763009770,354585919,0,0,0,2,middle
2014-02-13,626698794,362757986,0,0,0,3,middle
2014-02-14,490710434,263261899,0,0,0,4,middle
2014-02-15,255393179,121463693,0,0,0,5,middle
2014-02-16,331324628,183057224,0,0,0,6,middle
2014-02-17,706118060,405809267,0,0,0,0,middle
2014-02-18,593563145,271125324,0,0,0,1,middle
2014-02-19,408367966,323990451,0,0,0,2,middle
2014-02-20,478925191,230855410,0,0,0,3,middle
2014-02-21,353981687,178914448,0,0,0,4,end
2014-02-22,282022706,134735118,0,0,0,5,end
2014-02-23,337053711,195214052,0,0,0,6,end
2014-02-24,656317045,473470156,0,0,0,0,end
2014-02-25,563505889,299155352,0,0,0,1,end
2014-02-26,680801145,284819682,0,0,0,2,end
2014-02-27,672909288,492786036,0,0,0,3,end
2014-02-28,428721754,322030204,0,0,0,4,end
2014-03-01,362865580,211279011,1,0,0,5,begin
2014-03-02,276202230,246199417,1,0,0,6,begin
2014-03-03,505305862,513017360,0,0,1,0,begin
2014-03-04,524146340,250562978,0,0,0,1,begin
2014-03-05,454295491,209072753,0,0,0,2,begin
2014-03-06,561787770,243149884,0,0,0,3,begin
2014-03-07,380139779,291087220,0,0,0,4,begin
2014-03-08,243274169,140323202,1,0,0,5,begin
2014-03-09,244752519,206312503,1,0,0,6,begin
2014-03-10,497338076,308040624,0,0,1,0,begin
2014-03-11,430500816,496039886,0,0,0,1,middle
2014-03-12,377007897,416491268,0,0,0,2,middle
2014-03-13,346286910,316973542,0,0,0,3,middle
2014-03-14,315897431,311575572,0,0,0,4,middle
2014-03-15,287407002,242799048,1,0,0,5,middle
2014-03-16,269387391,390584547,1,0,0,6,middle
2014-03-17,339008082,440624592,0,0,1,0,middle
2014-03-18,435479117,410240726,0,0,0,1,middle
2014-03-19,359014064,429298917,0,0,0,2,middle
2014-03-20,365011495,336076380,0,0,0,3,middle
2014-03-21,282351818,259655286,0,0,0,4,end
2014-03-22,191700135,138039412,1,0,0,5,end
2014-03-23,167456369,186443311,1,0,0,6,end
2014-03-24,313180334,437825259,0,0,1,0,end
2014-03-25,314345006,312710515,0,0,0,1,end
2014-03-26,272935544,450254233,0,0,0,2,end
2014-03-27,266231082,359071642,0,0,0,3,end
2014-03-28,225966355,405443946,0,0,0,4,end
2014-03-29,160250985,155006056,1,0,0,5,end
2014-03-30,205533934,264714811,1,0,0,6,end
2014-03-31,398884905,423852634,0,0,1,0,end
2014-04-01,453320585,277429358,0,0,0,1,begin
2014-04-02,355347118,272612066,0,0,0,2,begin
2014-04-03,363877120,266605457,0,0,0,3,begin
2014-04-04,251895894,200192637,0,0,0,4,begin
2014-04-05,202336542,163199682,1,0,0,5,begin
2014-04-06,129477254,139576683,1,0,0,6,begin
2014-04-07,196936223,176966561,1,0,0,0,begin
2014-04-08,354770149,250015131,0,0,1,1,begin
2014-04-09,383347565,289330278,0,0,0,2,begin
2014-04-10,386567460,286914864,0,0,0,3,begin
2014-04-11,237829882,277077434,0,0,0,4,middle
2014-04-12,177642053,123295320,1,0,0,5,middle
2014-04-13,208172985,178934722,1,0,0,6,middle
2014-04-14,309853269,415986984,0,0,1,0,middle
2014-04-15,428681231,285293076,0,0,0,1,middle
2014-04-16,387847838,255914640,0,0,0,2,middle
2014-04-17,355792647,265341592,0,0,0,3,middle
2014-04-18,239300383,225952909,0,0,0,4,middle
2014-04-19,268729366,146374940,1,0,0,5,middle
2014-04-20,191259529,161057781,1,0,0,6,middle
2014-04-21,301134667,295635256,0,0,1,0,end
2014-04-22,285248757,268810141,0,0,0,1,end
2014-04-23,313677307,278470936,0,0,0,2,end
2014-04-24,318358891,224536754,0,0,0,3,end
2014-04-25,220927432,227764292,0,0,0,4,end
2014-04-26,151625415,158122962,1,0,0,5,end
2014-04-27,146837951,191915377,1,0,0,6,end
2014-04-28,324937272,327724735,0,0,1,0,end
2014-04-29,330607104,307578349,0,0,0,1,end
2014-04-30,260091330,281835975,0,0,0,2,end
2014-05-01,193045106,143362755,1,0,0,3,begin
2014-05-02,125336258,121222064,1,0,0,4,begin
2014-05-03,185094488,199568043,1,0,0,5,begin
2014-05-04,303087562,413222034,0,1,1,6,begin
2014-05-05,370924149,309330781,0,0,0,0,begin
2014-05-06,318002728,341108696,0,0,0,1,begin
2014-05-07,417327518,239372999,0,0,0,2,begin
2014-05-08,392838756,273187499,0,0,0,3,begin
2014-05-09,281479009,247743971,0,0,0,4,begin
2014-05-10,287240171,147248328,1,0,0,5,begin
2014-05-11,182424063,152945581,1,0,0,6,middle
2014-05-12,325108597,293952908,0,0,1,0,middle
2014-05-13,275241493,257918375,0,0,0,1,middle
2014-05-14,305474522,316225442,0,0,0,2,middle
2014-05-15,313367089,238307643,0,0,0,3,middle
2014-05-16,231967423,282094916,0,0,0,4,middle
2014-05-17,170983868,145854372,1,0,0,5,middle
2014-05-18,164419642,153440019,1,0,0,6,middle
2014-05-19,259077930,293791406,0,0,1,0,middle
2014-05-20,453955303,260040720,0,0,0,1,middle
2014-05-21,297799722,250223726,0,0,0,2,end
2014-05-22,344636549,251108485,0,0,0,3,end
2014-05-23,249546195,229000787,0,0,0,4,end
2014-05-24,160073254,154409868,1,0,0,5,end
2014-05-25,166943526,231004758,1,0,0,6,end
2014-05-26,344890868,274707572,0,0,1,0,end
2014-05-27,299049555,321965845,0,0,0,1,end
2014-05-28,276134813,415891684,0,0,0,2,end
2014-05-29,320549863,313827800,0,0,0,3,end
2014-05-30,226547701,312802179,0,0,0,4,end
2014-05-31,146823669,142862063,1,0,0,5,end
2014-06-01,183489775,149829253,1,0,0,6,begin
2014-06-02,158219402,170409506,1,0,0,0,begin
2014-06-03,270887462,385622582,0,0,1,1,begin
2014-06-04,274460744,303978838,0,0,0,2,begin
2014-06-05,380042567,355645445,0,0,0,3,begin
2014-06-06,301413900,274862067,0,0,0,4,begin
2014-06-07,187801995,146203577,1,0,0,5,begin
2014-06-08,302171269,169525332,1,0,0,6,begin
2014-06-09,366114374,287520152,0,0,1,0,begin
2014-06-10,354031597,298190025,0,0,0,1,begin
2014-06-11,327661453,246127540,0,0,0,2,middle
2014-06-12,332365185,236467885,0,0,0,3,middle
2014-06-13,216923770,386799040,0,0,0,4,middle
2014-06-14,181574530,229916191,1,0,0,5,middle
2014-06-15,166080126,116623756,1,0,0,6,middle
2014-06-16,387308484,492349489,0,0,1,0,middle
2014-06-17,270350693,502560223,0,0,0,1,middle
2014-06-18,335262709,421920230,0,0,0,2,middle
2014-06-19,338609087,284956260,0,0,0,3,middle
2014-06-20,251582530,286583065,0,0,0,4,middle
2014-06-21,177999186,231003775,1,0,0,5,end
2014-06-22,147180819,361285652,1,0,0,6,end
2014-06-23,232227670,373779624,0,0,1,0,end
2014-06-24,245450766,428471509,0,0,0,1,end
2014-06-25,264663201,547295931,0,0,0,2,end
2014-06-26,297628039,418742109,0,0,0,3,end
2014-06-27,264282703,399444352,0,0,0,4,end
2014-06-28,153826161,283400236,1,0,0,5,end
2014-06-29,158801540,261170799,1,0,0,6,end
2014-06-30,334054112,456547794,0,0,1,0,end
2014-07-01,384428753,374164541,0,0,0,1,begin
2014-07-02,384555819,328950951,0,0,0,2,begin
2014-07-03,297894643,289009780,0,0,0,3,begin
2014-07-04,211649838,264494550,0,0,0,4,begin
2014-07-05,169383796,272535138,1,0,0,5,begin
2014-07-06,199569025,195530758,1,0,0,6,begin
2014-07-07,272182847,317612569,0,0,1,0,begin
2014-07-08,224240103,340453063,0,0,0,1,begin
2014-07-09,278005555,269642881,0,0,0,2,begin
2014-07-10,283095921,326009240,0,0,0,3,begin
2014-07-11,208671021,240050748,0,0,0,4,middle
2014-07-12,177644343,149081488,1,0,0,5,middle
2014-07-13,179759885,199459990,1,0,0,6,middle
2014-07-14,254797524,284753279,0,0,1,0,middle
2014-07-15,334810012,261722182,0,0,0,1,middle
2014-07-16,394890140,234775948,0,0,0,2,middle
2014-07-17,253011280,298279385,0,0,0,3,middle
2014-07-18,208959595,208671287,0,0,0,4,middle
2014-07-19,210318023,155464283,1,0,0,5,middle
2014-07-20,176449304,174462836,1,0,0,6,middle
2014-07-21,378088594,434191479,0,0,1,0,end
2014-07-22,243084133,369043423,0,0,0,1,end
2014-07-23,265461894,308353077,0,0,0,2,end
2014-07-24,277044480,347622431,0,0,0,3,end
2014-07-25,181641088,262874791,0,0,0,4,end
2014-07-26,128268053,282653341,1,0,0,5,end
2014-07-27,151406251,166610652,1,0,0,6,end
2014-07-28,371762756,345986909,0,0,1,0,end
2014-07-29,228093046,303480103,0,0,0,1,end
2014-07-30,209917272,250117716,0,0,0,2,end
2014-07-31,191728916,277194379,0,0,0,3,end
2014-08-01,374884735,252540858,0,0,0,4,begin
2014-08-02,189092130,172250225,1,0,0,5,begin
2014-08-03,173825397,127125217,1,0,0,6,begin
2014-08-04,330640884,322907524,0,0,1,0,begin
2014-08-05,394780870,221706539,0,0,0,1,begin
2014-08-06,288821016,282346594,0,0,0,2,begin
2014-08-07,247646474,253659514,0,0,0,3,begin
2014-08-08,233903717,311648757,0,0,0,4,begin
2014-08-09,160262764,163611708,1,0,0,5,begin
2014-08-10,259534870,189909225,1,0,0,6,begin
2014-08-11,331550471,418603336,0,0,1,0,middle
2014-08-12,258493673,309754858,0,0,0,1,middle
2014-08-13,261506619,303975517,0,0,0,2,middle
2014-08-14,257702660,211939431,0,0,0,3,middle
2014-08-15,244551620,236516007,0,0,0,4,middle
2014-08-16,215059736,219214339,1,0,0,5,middle
2014-08-17,149978271,139564084,1,0,0,6,middle
2014-08-18,298499146,259169016,0,0,1,0,middle
2014-08-19,266401973,254929877,0,0,0,1,middle
2014-08-20,308378692,202452782,0,0,0,2,middle
2014-08-21,251763517,219963356,0,0,0,3,end
2014-08-22,246316056,179349206,0,0,0,4,end
2014-08-23,141412027,199377531,1,0,0,5,end
2014-08-24,130195484,191080151,1,0,0,6,end
2014-08-25,309574223,312413411,0,0,1,0,end
2014-08-26,306945089,285478563,0,0,0,1,end
2014-08-27,302194801,468164147,0,0,0,2,end
2014-08-28,245082751,297893861,0,0,0,3,end
2014-08-29,267554713,273756380,0,0,0,4,end
2014-08-30,199708772,196374134,1,0,0,5,end
2014-08-31,275090213,292943033,1,0,0,6,end
