ds,is_holiday,weekday,month_period,is_month_end,is_next_workday
2014-03-01,1,5,begin,0,0
2014-03-02,1,6,begin,0,0
2014-03-03,0,0,begin,0,1
2014-03-04,0,1,begin,0,0
2014-03-05,0,2,begin,0,0
2014-03-06,0,3,begin,0,0
2014-03-07,0,4,begin,0,0
2014-03-08,1,5,begin,0,0
2014-03-09,1,6,begin,0,0
2014-03-10,0,0,begin,0,1
2014-03-11,0,1,middle,0,0
2014-03-12,0,2,middle,0,0
2014-03-13,0,3,middle,0,0
2014-03-14,0,4,middle,0,0
2014-03-15,1,5,middle,0,0
2014-03-16,1,6,middle,0,0
2014-03-17,0,0,middle,0,1
2014-03-18,0,1,middle,0,0
2014-03-19,0,2,middle,0,0
2014-03-20,0,3,middle,0,0
2014-03-21,0,4,end,0,0
2014-03-22,1,5,end,0,0
2014-03-23,1,6,end,0,0
2014-03-24,0,0,end,0,1
2014-03-25,0,1,end,0,0
2014-03-26,0,2,end,0,0
2014-03-27,0,3,end,0,0
2014-03-28,0,4,end,0,0
2014-03-29,1,5,end,0,0
2014-03-30,1,6,end,0,0
2014-03-31,0,0,end,1,1
2014-04-01,0,1,begin,0,0
2014-04-02,0,2,begin,0,0
2014-04-03,0,3,begin,0,0
2014-04-04,0,4,begin,0,0
2014-04-05,1,5,begin,0,0
2014-04-06,1,6,begin,0,0
2014-04-07,1,0,begin,0,0
2014-04-08,0,1,begin,0,1
2014-04-09,0,2,begin,0,0
2014-04-10,0,3,begin,0,0
2014-04-11,0,4,middle,0,0
2014-04-12,1,5,middle,0,0
2014-04-13,1,6,middle,0,0
2014-04-14,0,0,middle,0,1
2014-04-15,0,1,middle,0,0
2014-04-16,0,2,middle,0,0
2014-04-17,0,3,middle,0,0
2014-04-18,0,4,middle,0,0
2014-04-19,1,5,middle,0,0
2014-04-20,1,6,middle,0,0
2014-04-21,0,0,end,0,1
2014-04-22,0,1,end,0,0
2014-04-23,0,2,end,0,0
2014-04-24,0,3,end,0,0
2014-04-25,0,4,end,0,0
2014-04-26,1,5,end,0,0
2014-04-27,1,6,end,0,0
2014-04-28,0,0,end,0,1
2014-04-29,0,1,end,0,0
2014-04-30,0,2,end,1,0
2014-05-01,1,3,begin,0,0
2014-05-02,1,4,begin,0,0
2014-05-03,1,5,begin,0,0
2014-05-04,0,6,begin,0,1
2014-05-05,0,0,begin,0,0
2014-05-06,0,1,begin,0,0
2014-05-07,0,2,begin,0,0
2014-05-08,0,3,begin,0,0
2014-05-09,0,4,begin,0,0
2014-05-10,1,5,begin,0,0
2014-05-11,1,6,middle,0,0
2014-05-12,0,0,middle,0,1
2014-05-13,0,1,middle,0,0
2014-05-14,0,2,middle,0,0
2014-05-15,0,3,middle,0,0
2014-05-16,0,4,middle,0,0
2014-05-17,1,5,middle,0,0
2014-05-18,1,6,middle,0,0
2014-05-19,0,0,middle,0,1
2014-05-20,0,1,middle,0,0
2014-05-21,0,2,end,0,0
2014-05-22,0,3,end,0,0
2014-05-23,0,4,end,0,0
2014-05-24,1,5,end,0,0
2014-05-25,1,6,end,0,0
2014-05-26,0,0,end,0,1
2014-05-27,0,1,end,0,0
2014-05-28,0,2,end,0,0
2014-05-29,0,3,end,0,0
2014-05-30,0,4,end,0,0
2014-05-31,1,5,end,1,0
2014-06-01,1,6,begin,0,0
2014-06-02,1,0,begin,0,0
2014-06-03,0,1,begin,0,1
2014-06-04,0,2,begin,0,0
2014-06-05,0,3,begin,0,0
2014-06-06,0,4,begin,0,0
2014-06-07,1,5,begin,0,0
2014-06-08,1,6,begin,0,0
2014-06-09,0,0,begin,0,1
2014-06-10,0,1,begin,0,0
2014-06-11,0,2,middle,0,0
2014-06-12,0,3,middle,0,0
2014-06-13,0,4,middle,0,0
2014-06-14,1,5,middle,0,0
2014-06-15,1,6,middle,0,0
2014-06-16,0,0,middle,0,1
2014-06-17,0,1,middle,0,0
2014-06-18,0,2,middle,0,0
2014-06-19,0,3,middle,0,0
2014-06-20,0,4,middle,0,0
2014-06-21,1,5,end,0,0
2014-06-22,1,6,end,0,0
2014-06-23,0,0,end,0,1
2014-06-24,0,1,end,0,0
2014-06-25,0,2,end,0,0
2014-06-26,0,3,end,0,0
2014-06-27,0,4,end,0,0
2014-06-28,1,5,end,0,0
2014-06-29,1,6,end,0,0
2014-06-30,0,0,end,1,1
2014-07-01,0,1,begin,0,0
2014-07-02,0,2,begin,0,0
2014-07-03,0,3,begin,0,0
2014-07-04,0,4,begin,0,0
2014-07-05,1,5,begin,0,0
2014-07-06,1,6,begin,0,0
2014-07-07,0,0,begin,0,1
2014-07-08,0,1,begin,0,0
2014-07-09,0,2,begin,0,0
2014-07-10,0,3,begin,0,0
2014-07-11,0,4,middle,0,0
2014-07-12,1,5,middle,0,0
2014-07-13,1,6,middle,0,0
2014-07-14,0,0,middle,0,1
2014-07-15,0,1,middle,0,0
2014-07-16,0,2,middle,0,0
2014-07-17,0,3,middle,0,0
2014-07-18,0,4,middle,0,0
2014-07-19,1,5,middle,0,0
2014-07-20,1,6,middle,0,0
2014-07-21,0,0,end,0,1
2014-07-22,0,1,end,0,0
2014-07-23,0,2,end,0,0
2014-07-24,0,3,end,0,0
2014-07-25,0,4,end,0,0
2014-07-26,1,5,end,0,0
2014-07-27,1,6,end,0,0
2014-07-28,0,0,end,0,1
2014-07-29,0,1,end,0,0
2014-07-30,0,2,end,0,0
2014-07-31,0,3,end,1,0
2014-08-01,0,4,begin,0,0
2014-08-02,1,5,begin,0,0
2014-08-03,1,6,begin,0,0
2014-08-04,0,0,begin,0,1
2014-08-05,0,1,begin,0,0
2014-08-06,0,2,begin,0,0
2014-08-07,0,3,begin,0,0
2014-08-08,0,4,begin,0,0
2014-08-09,1,5,begin,0,0
2014-08-10,1,6,begin,0,0
2014-08-11,0,0,middle,0,1
2014-08-12,0,1,middle,0,0
2014-08-13,0,2,middle,0,0
2014-08-14,0,3,middle,0,0
2014-08-15,0,4,middle,0,0
2014-08-16,1,5,middle,0,0
2014-08-17,1,6,middle,0,0
2014-08-18,0,0,middle,0,1
2014-08-19,0,1,middle,0,0
2014-08-20,0,2,middle,0,0
2014-08-21,0,3,end,0,0
2014-08-22,0,4,end,0,0
2014-08-23,1,5,end,0,0
2014-08-24,1,6,end,0,0
2014-08-25,0,0,end,0,1
2014-08-26,0,1,end,0,0
2014-08-27,0,2,end,0,0
2014-08-28,0,3,end,0,0
2014-08-29,0,4,end,0,0
2014-08-30,1,5,end,0,0
2014-08-31,1,6,end,1,0
2014-09-01,0,0,begin,0,1
2014-09-02,0,1,begin,0,0
2014-09-03,0,2,begin,0,0
2014-09-04,0,3,begin,0,0
2014-09-05,0,4,begin,0,0
2014-09-06,1,5,begin,0,0
2014-09-07,1,6,begin,0,0
2014-09-08,1,0,begin,0,0
2014-09-09,0,1,begin,0,1
2014-09-10,0,2,begin,0,0
2014-09-11,0,3,middle,0,0
2014-09-12,0,4,middle,0,0
2014-09-13,1,5,middle,0,0
2014-09-14,1,6,middle,0,0
2014-09-15,0,0,middle,0,1
2014-09-16,0,1,middle,0,0
2014-09-17,0,2,middle,0,0
2014-09-18,0,3,middle,0,0
2014-09-19,0,4,middle,0,0
2014-09-20,1,5,middle,0,0
2014-09-21,1,6,end,0,0
2014-09-22,0,0,end,0,1
2014-09-23,0,1,end,0,0
2014-09-24,0,2,end,0,0
2014-09-25,0,3,end,0,0
2014-09-26,0,4,end,0,0
2014-09-27,1,5,end,0,0
2014-09-28,0,6,end,0,1
2014-09-29,0,0,end,0,0
2014-09-30,0,1,end,1,0
